config_from,cluster
0,1
32768,1
76672,1
99840,1
100224,1
100225,1
100226,1
100230,0
108416,1
109440,1
110464,1
110470,0
114560,0
114566,0
115332,1
117248,1
118534,0
122758,0
123399,1
125826,1
126464,1
126592,1
126854,0
239488,1
260992,1
262144,1
311808,1
329222,1
347910,1
360960,1
361344,1
361346,1
361350,0
361472,1
361984,1
362112,1
362242,1
362246,0
362368,1
362370,1
362374,0
362376,1
362382,0
364420,0
369280,1
369543,0
370438,0
370564,0
370630,0
372610,0
372614,0
376832,1
376838,1
377348,1
377350,1
377600,1
378758,0
385536,1
385920,1
385926,0
388998,0
388999,0
392710,1
436102,0
450567,1
484230,0
491520,1
493442,0
493446,0
493447,0
499462,0
500224,1
501377,0
501506,0
501634,0
501638,0
503558,0
503682,0
503686,0
503687,0
507654,0
507778,0
508422,1
508678,1
508800,1
511879,0
515974,0
516608,1
516865,1
516995,0
516997,0
516998,0
517126,1
517632,1
517638,1
518918,0
519686,0
519815,0
520065,0
520070,0
520071,0
522118,0
524165,0
524167,0
524175,0
524289,1
558594,1
626566,0
631680,1
632320,1
632322,1
632448,1
632706,0
632710,0
633472,1
633728,1
634370,1
634374,1
634496,1
634498,0
634502,0
634752,0
634754,0
634758,0
636806,0
638470,1
638848,0
638850,0
638854,0
638886,0
648070,0
648838,0
650752,1
650754,1
650759,1
651142,0
651170,0
652162,1
654262,0
654848,1
655238,0
655286,0
692102,0
754560,1
757638,0
759687,0
761734,0
763522,0
763782,0
765442,1
765575,0
765830,0
765831,0
769922,0
769926,0
769927,0
769943,0
769958,0
769959,0
769975,0
774016,0
780167,0
782214,0
786306,0
787334,0
885632,1
886272,1
886274,1
886278,1
886658,0
886660,0
886662,0
886663,0
894598,0
894854,0
894855,0
896898,0
896903,0
902020,1
910854,1
910982,0
911238,0
911239,0
913282,0
913286,0
929282,1
944007,0
976775,0
978831,0
995207,0
1011200,1
1016322,1
1016832,1
1016833,1
1016839,0
1017478,0
1017606,0
1017730,0
1017732,0
1017734,0
1017735,0
1024903,0
1025538,1
1025539,1
1025665,0
1025795,0
1025920,0
1025922,0
1025924,0
1025926,0
1025927,0
1027719,0
1027842,0
1027968,0
1027969,0
1027970,0
1027974,0
1027975,0
1027982,0
1031046,0
1031685,0
1031815,0
1032066,0
1032068,0
1032070,0
1032071,0
1032102,0
1032110,0
1032119,0
1033090,0
1033990,0
1036215,0
1040896,1
1040902,1
1041024,1
1041280,0
1041286,0
1041287,0
1041288,1
1041920,1
1041922,1
1041926,0
1042304,0
1042305,0
1042306,0
1042311,0
1043334,0
1044097,0
1044102,0
1044134,0
1044230,0
1044353,0
1044354,0
1044355,0
1044356,0
1044358,0
1044359,0
1047431,0
1048454,0
1048455,0
