entry_name,config_id,comm_color_code,node_id
Cistercians,1025926,#F21A00,0
Ancient Egypt,1027975,#F21A00,1
Pre-Christian Ireland,1044359,#F21A00,5
Jesuits in Britain,1027974,#F21A00,2
Islam in Aceh,1025927,#F21A00,4
Vaisnava,1044358,#F21A00,8
The Essenes,894854,#F21A00,10
Calvinism,886662,#F21A00,11
Yiguan Dao,1017734,#F21A00,6
Messalians,361984,#34649e,43
Free Methodist,362368,#34649e,16
Jehovah's Witnesses,362374,#34649e,3
Southern Baptists,362370,#34649e,35
Valentinians,362246,#34649e,45
Peyote Religion,360960,#34649e,108
Pythagoreanism,385536,#34649e,54
Church of England,1017730,#78B7C5,36
German Protestant,1025920,#78B7C5,23
Muslims in UAE,1025922,#78B7C5,7
Tallensi,632710,#78B7C5,53
Catholics in PRC,501634,#78B7C5,57
Roman Imperial,769927,#c99700,24
Tsonga,634758,#c99700,9
Mesopotamia,769926,#c99700,12
Luguru,638854,#c99700,19
Sokoto,1025538,#EBCC2A,79
Trumai,634496,#EBCC2A,75
Hidatsa,634370,#EBCC2A,91
Wogeo,1041926,#EBCC2A,138
